x,y
Bank wire transfer - 94153,Transfer-Out
Medical supplies purchase - 39892,Pharmacy
Interest credited - 84349,Interest Income
Savings account interest - 97619,Interest Income
Petrol station purchase - 93180,Gas
Electricity bill payment - 74614,Utilities
Weekly grocery shopping - 63036,Groceries
Prescription payment - 96845,Pharmacy
Transfer to savings account - 26220,Transfer-Out
Shoe store purchase - 46907,Shopping
Weekly grocery shopping - 31557,Groceries
Gas station transaction - 08629,Gas
Gas station transaction - 42208,Gas
Vegetable market transaction - 14356,Groceries
Bank interest payment - 43981,Interest Income
Interest deposit - 32608,Interest Income
Bank interest payment - 08799,Interest Income
Internet service payment - 72821,Utilities
Grocery store payment - 69634,Groceries
Account transfer - 70271,Transfer-Out
Petrol station purchase - 83521,Gas
Internet service payment - 73191,Utilities
Theme park ticket purchase - 98370,Entertainment
Pharmacy store purchase - 46658,Pharmacy
Monthly salary deposit - 64693,Salary
Money sent to friend - 66476,Transfer-Out
Electronics store purchase - 00912,Shopping
Medicine purchase - 33965,Pharmacy
Money sent to friend - 86869,Transfer-Out
Supermarket groceries purchase - 62423,Groceries
Payroll deposit - 96029,Salary
Electricity bill payment - 66507,Utilities
Concert tickets purchase - 72855,Entertainment
Netflix subscription payment - 77529,Entertainment
Petrol station purchase - 21600,Gas
Streaming service payment - 31075,Entertainment
Mobile phone store purchase - 43542,Shopping
Transfer to savings account - 79636,Transfer-Out
Payment to Italian restaurant - 98417,Restaurants
Electricity bill payment - 83116,Utilities
Bank wire transfer - 73525,Transfer-Out
Interest income received - 71685,Interest Income
Theme park ticket purchase - 42344,Entertainment
Amazon online purchase - 46319,Shopping
Shoe store purchase - 80078,Shopping
Pharmacy store purchase - 55313,Pharmacy
Interest income received - 96352,Interest Income
Water bill payment - 83512,Utilities
Theme park ticket purchase - 89866,Entertainment
Fast food purchase - 98217,Restaurants
Weekly grocery shopping - 31160,Groceries
Payment to Italian restaurant - 72433,Restaurants
Payroll deposit - 58170,Salary
Amazon online purchase - 44642,Shopping
Pharmacy store purchase - 31655,Pharmacy
Supermarket groceries purchase - 29029,Groceries
Fuel payment - 21441,Gas
Medicine purchase - 58808,Pharmacy
Brunch payment - 09855,Restaurants
Bank interest payment - 10386,Interest Income
Monthly salary deposit - 41440,Salary
Weekly grocery shopping - 27065,Groceries
Netflix subscription payment - 39611,Entertainment
Grocery store payment - 11709,Groceries
Utility bill payment - 77495,Utilities
Account transfer - 86104,Transfer-Out
Weekly grocery shopping - 53040,Groceries
Salary payment - 08865,Salary
Gas utility payment - 57848,Utilities
Netflix subscription payment - 65948,Entertainment
Monthly salary deposit - 51244,Salary
Medical supplies purchase - 13243,Pharmacy
Transfer to savings account - 76006,Transfer-Out
Weekly grocery shopping - 76983,Groceries
Money sent to friend - 93661,Transfer-Out
Amazon online purchase - 56317,Shopping
Pharmacy store purchase - 64331,Pharmacy
Netflix subscription payment - 94210,Entertainment
Grocery store purchase - 78803,Shopping
Money sent to friend - 51166,Transfer-Out
Gas refill payment - 03796,Gas
Water bill payment - 53848,Utilities
Payroll deposit - 94235,Salary
Gas station transaction - 81268,Gas
Pharmacy store purchase - 75101,Pharmacy
Gas utility payment - 14924,Utilities
Monthly salary deposit - 43330,Salary
Movie theater tickets - 30731,Entertainment
Starbucks coffee purchase - 94874,Restaurants
Transfer to savings account - 90219,Transfer-Out
Bank wire transfer - 47212,Transfer-Out
Family money transfer - 08456,Transfer-Out
Money sent to friend - 72035,Transfer-Out
Fuel purchase at gas station - 53957,Gas
Medical supplies purchase - 08033,Pharmacy
Starbucks coffee purchase - 73767,Restaurants
Paycheck deposit - 05817,Salary
Utility bill payment - 68074,Utilities
Grocery store payment - 01095,Groceries
Prescription payment - 27137,Pharmacy
Salary payment - 13878,Salary
Bank interest payment - 94495,Interest Income
Mobile phone store purchase - 06853,Shopping
Amazon online purchase - 63646,Shopping
Income from employer - 08392,Salary
Payment to Italian restaurant - 64571,Restaurants
Lunch at sushi bar - 86412,Restaurants
Salary payment - 35669,Salary
Income from employer - 75536,Salary
Movie theater tickets - 01591,Entertainment
Organic store purchase - 26692,Groceries
Fuel purchase at gas station - 48406,Gas
Salary payment - 75221,Salary
Fuel payment - 51217,Gas
Starbucks coffee purchase - 53856,Restaurants
Shoe store purchase - 39757,Shopping
Transfer to savings account - 13045,Transfer-Out
Petrol station purchase - 61949,Gas
Payment to Italian restaurant - 53192,Restaurants
Health store transaction - 82651,Pharmacy
Vegetable market transaction - 55191,Groceries
Bank wire transfer - 39080,Transfer-Out
Account transfer - 67464,Transfer-Out
Health store transaction - 63284,Pharmacy
Electricity bill payment - 61443,Utilities
Fuel payment - 83933,Gas
Payroll deposit - 53422,Salary
Shoe store purchase - 23628,Shopping
Fuel payment - 97119,Gas
Utility bill payment - 84034,Utilities
Concert tickets purchase - 50258,Entertainment
Internet service payment - 58487,Utilities
Bank interest payment - 00532,Interest Income
Interest deposit - 45866,Interest Income
Fuel purchase at gas station - 37397,Gas
Streaming service payment - 55013,Entertainment
Gas utility payment - 46536,Utilities
Gas refill payment - 97238,Gas
Prescription payment - 72836,Pharmacy
Interest deposit - 38865,Interest Income
Vegetable market transaction - 57516,Groceries
Family money transfer - 16091,Transfer-Out
Brunch payment - 31647,Restaurants
Electricity bill payment - 75594,Utilities
Bank interest payment - 94556,Interest Income
Vegetable market transaction - 49229,Groceries
Weekly grocery shopping - 76445,Groceries
Weekly grocery shopping - 16398,Groceries
Fuel payment - 09096,Gas
Water bill payment - 25961,Utilities
Bank wire transfer - 20922,Transfer-Out
Mobile phone store purchase - 34619,Shopping
Gas refill payment - 68467,Gas
Weekly grocery shopping - 20762,Groceries
Lunch at sushi bar - 48908,Restaurants
Water bill payment - 99980,Utilities
Bank wire transfer - 19295,Transfer-Out
Water bill payment - 84111,Utilities
Internet service payment - 70326,Utilities
Concert tickets purchase - 66443,Entertainment
Interest income received - 11322,Interest Income
Theme park ticket purchase - 79370,Entertainment
Paycheck deposit - 01345,Salary
Supermarket groceries purchase - 69329,Groceries
Water bill payment - 49379,Utilities
Medicine purchase - 76575,Pharmacy
Health store transaction - 05055,Pharmacy
Bank wire transfer - 13512,Transfer-Out
Family money transfer - 05845,Transfer-Out
Gas utility payment - 04873,Utilities
Lunch at sushi bar - 50309,Restaurants
Mobile phone store purchase - 04779,Shopping
Bank interest payment - 93893,Interest Income
Medicine purchase - 63155,Pharmacy
Movie theater tickets - 79474,Entertainment
Interest credited - 23297,Interest Income
Shoe store purchase - 84780,Shopping
Movie theater tickets - 10570,Entertainment
Brunch payment - 45771,Restaurants
Grocery store payment - 87356,Groceries
Paycheck deposit - 31623,Salary
Fast food purchase - 98964,Restaurants
Electricity bill payment - 99673,Utilities
Savings account interest - 13748,Interest Income
Grocery store payment - 89595,Groceries
Gas refill payment - 22698,Gas
Grocery store purchase - 71266,Shopping
Electronics store purchase - 85622,Shopping
Salary payment - 90991,Salary
Water bill payment - 67323,Utilities
Organic store purchase - 46338,Groceries
Electricity bill payment - 87732,Utilities
Income from employer - 08705,Salary
Bank wire transfer - 72125,Transfer-Out
Theme park ticket purchase - 59374,Entertainment
Utility bill payment - 17174,Utilities
Pharmacy store purchase - 58080,Pharmacy
Brunch payment - 16012,Restaurants
Internet service payment - 06996,Utilities
Payment to Italian restaurant - 54075,Restaurants
Supermarket groceries purchase - 56491,Groceries
Grocery store purchase - 11582,Shopping
Interest income received - 34592,Interest Income
Shoe store purchase - 03500,Shopping
Fuel purchase at gas station - 44758,Gas
Grocery store purchase - 92965,Shopping
Supermarket groceries purchase - 96256,Groceries
Fuel payment - 02188,Gas
Amazon online purchase - 12838,Shopping
Income from employer - 71975,Salary
Monthly salary deposit - 02066,Salary
Family money transfer - 93674,Transfer-Out
Netflix subscription payment - 53153,Entertainment
Account transfer - 77017,Transfer-Out
Gas refill payment - 31033,Gas
Supermarket groceries purchase - 11454,Groceries
Payment to Italian restaurant - 30533,Restaurants
Organic store purchase - 30999,Groceries
Bank wire transfer - 13134,Transfer-Out
Electronics store purchase - 44402,Shopping
Theme park ticket purchase - 51139,Entertainment
Payroll deposit - 38448,Salary
Money sent to friend - 36641,Transfer-Out
Bank interest payment - 26452,Interest Income
Bank interest payment - 83155,Interest Income
Medicine purchase - 65947,Pharmacy
Internet service payment - 80876,Utilities
Fuel payment - 26770,Gas
Family money transfer - 55984,Transfer-Out
Starbucks coffee purchase - 78591,Restaurants
Netflix subscription payment - 16566,Entertainment
Income from employer - 10275,Salary
Money sent to friend - 43755,Transfer-Out
Monthly salary deposit - 42908,Salary
Fuel payment - 34244,Gas
Utility bill payment - 33818,Utilities
Electronics store purchase - 97553,Shopping
Savings account interest - 24164,Interest Income
Fast food purchase - 84402,Restaurants
Supermarket groceries purchase - 57531,Groceries
Amazon online purchase - 64933,Shopping
Interest deposit - 13416,Interest Income
Vegetable market transaction - 56321,Groceries
Paycheck deposit - 54131,Salary
Medicine purchase - 54134,Pharmacy
Starbucks coffee purchase - 94135,Restaurants
Utility bill payment - 64840,Utilities
Lunch at sushi bar - 22514,Restaurants
Gas utility payment - 55259,Utilities
Pharmacy store purchase - 74247,Pharmacy
Netflix subscription payment - 80280,Entertainment
Electronics store purchase - 27686,Shopping
Interest credited - 67885,Interest Income
Health store transaction - 51925,Pharmacy
Pharmacy store purchase - 17402,Pharmacy
Gas station transaction - 27876,Gas
Water bill payment - 52446,Utilities
Mobile phone store purchase - 52939,Shopping
Payroll deposit - 07774,Salary
Monthly salary deposit - 73984,Salary
Salary payment - 35543,Salary
Payment to Italian restaurant - 07418,Restaurants
Utility bill payment - 09261,Utilities
Grocery store payment - 88030,Groceries
Fuel purchase at gas station - 33626,Gas
Shoe store purchase - 20554,Shopping
Starbucks coffee purchase - 89410,Restaurants
Interest income received - 71381,Interest Income
Gas station transaction - 05613,Gas
Concert tickets purchase - 96428,Entertainment
Fuel purchase at gas station - 53931,Gas
Supermarket groceries purchase - 26729,Groceries
Starbucks coffee purchase - 26136,Restaurants
Theme park ticket purchase - 32608,Entertainment
Starbucks coffee purchase - 91853,Restaurants
Gas refill payment - 97002,Gas
Payment to Italian restaurant - 93277,Restaurants
Savings account interest - 05623,Interest Income
Medicine purchase - 91357,Pharmacy
Amazon online purchase - 67800,Shopping
Interest income received - 46377,Interest Income
Shoe store purchase - 77195,Shopping
Grocery store payment - 37871,Groceries
Starbucks coffee purchase - 82075,Restaurants
Mobile phone store purchase - 43453,Shopping
Supermarket groceries purchase - 86170,Groceries
Lunch at sushi bar - 03919,Restaurants
Fast food purchase - 87622,Restaurants
Salary payment - 85160,Salary
Streaming service payment - 99042,Entertainment
Weekly grocery shopping - 04327,Groceries
Money sent to friend - 45471,Transfer-Out
Medicine purchase - 19056,Pharmacy
Starbucks coffee purchase - 06871,Restaurants
Medicine purchase - 49912,Pharmacy
Lunch at sushi bar - 85739,Restaurants
Grocery store purchase - 01805,Shopping
Interest credited - 22387,Interest Income
Salary payment - 42917,Salary
Electronics store purchase - 14313,Shopping
Theme park ticket purchase - 32116,Entertainment
Transfer to savings account - 28179,Transfer-Out
Interest deposit - 02819,Interest Income
Gas utility payment - 72481,Utilities
Payment to Italian restaurant - 89183,Restaurants
Grocery store purchase - 59091,Shopping
Water bill payment - 08819,Utilities
Lunch at sushi bar - 94743,Restaurants
Interest credited - 39241,Interest Income
Bank wire transfer - 66484,Transfer-Out
Amazon online purchase - 34672,Shopping
Pharmacy store purchase - 97354,Pharmacy
Bank wire transfer - 32050,Transfer-Out
Supermarket groceries purchase - 84352,Groceries
Fuel purchase at gas station - 22577,Gas
Streaming service payment - 87388,Entertainment
Gas station transaction - 58690,Gas
Payroll deposit - 55198,Salary
Gas utility payment - 34022,Utilities
Prescription payment - 09217,Pharmacy
Monthly salary deposit - 05978,Salary
Monthly salary deposit - 39313,Salary
Gas station transaction - 74643,Gas
Medical supplies purchase - 72513,Pharmacy
Grocery store payment - 10758,Groceries
Transfer to savings account - 13866,Transfer-Out
Mobile phone store purchase - 17291,Shopping
Amazon online purchase - 42202,Shopping
Shoe store purchase - 04414,Shopping
Bank interest payment - 51486,Interest Income
Concert tickets purchase - 47002,Entertainment
Shoe store purchase - 38109,Shopping
Amazon online purchase - 56409,Shopping
Petrol station purchase - 81121,Gas
Medical supplies purchase - 22205,Pharmacy
Water bill payment - 00086,Utilities
Water bill payment - 02694,Utilities
Amazon online purchase - 74826,Shopping
Interest credited - 33104,Interest Income
Grocery store payment - 85160,Groceries
Payroll deposit - 47203,Salary
Prescription payment - 96952,Pharmacy
Supermarket groceries purchase - 38055,Groceries
Bank wire transfer - 19491,Transfer-Out
Concert tickets purchase - 14949,Entertainment
Petrol station purchase - 29903,Gas
Interest deposit - 32487,Interest Income
Bank wire transfer - 54415,Transfer-Out
Shoe store purchase - 51253,Shopping
Bank interest payment - 34602,Interest Income
Petrol station purchase - 66083,Gas
Movie theater tickets - 79808,Entertainment
Weekly grocery shopping - 24608,Groceries
Fuel payment - 94824,Gas
Electronics store purchase - 49445,Shopping
Monthly salary deposit - 51351,Salary
Medical supplies purchase - 01882,Pharmacy
Electricity bill payment - 97285,Utilities
Shoe store purchase - 24494,Shopping
Health store transaction - 38280,Pharmacy
Brunch payment - 08722,Restaurants
Concert tickets purchase - 24077,Entertainment
Brunch payment - 96602,Restaurants
Weekly grocery shopping - 43324,Groceries
Medical supplies purchase - 31568,Pharmacy
Payroll deposit - 66210,Salary
Weekly grocery shopping - 82782,Groceries
Petrol station purchase - 78886,Gas
Paycheck deposit - 76924,Salary
Interest income received - 59837,Interest Income
Prescription payment - 96588,Pharmacy
Medicine purchase - 24775,Pharmacy
Fuel payment - 62284,Gas
Salary payment - 22848,Salary
Bank wire transfer - 90858,Transfer-Out
Interest deposit - 20812,Interest Income
Interest deposit - 89181,Interest Income
Mobile phone store purchase - 39304,Shopping
Concert tickets purchase - 51771,Entertainment
Savings account interest - 49301,Interest Income
Monthly salary deposit - 87500,Salary
Concert tickets purchase - 63135,Entertainment
Fuel purchase at gas station - 82275,Gas
Income from employer - 89393,Salary
Concert tickets purchase - 99427,Entertainment
Gas station transaction - 75136,Gas
Brunch payment - 82509,Restaurants
Shoe store purchase - 01412,Shopping
Gas station transaction - 66366,Gas
Vegetable market transaction - 61817,Groceries
Amazon online purchase - 11112,Shopping
Medicine purchase - 34159,Pharmacy
Internet service payment - 20015,Utilities
Water bill payment - 97079,Utilities
Theme park ticket purchase - 92401,Entertainment
Starbucks coffee purchase - 36418,Restaurants
Payment to Italian restaurant - 86134,Restaurants
Account transfer - 80814,Transfer-Out
Internet service payment - 86448,Utilities
Fuel purchase at gas station - 17981,Gas
Family money transfer - 86133,Transfer-Out
Lunch at sushi bar - 44840,Restaurants
Monthly salary deposit - 76755,Salary
Payroll deposit - 57062,Salary
Income from employer - 18860,Salary
Petrol station purchase - 88804,Gas
Netflix subscription payment - 90264,Entertainment
Movie theater tickets - 48484,Entertainment
Mobile phone store purchase - 70405,Shopping
Grocery store purchase - 96856,Shopping
Internet service payment - 30245,Utilities
Bank wire transfer - 46717,Transfer-Out
Movie theater tickets - 38925,Entertainment
Shoe store purchase - 84874,Shopping
Vegetable market transaction - 11828,Groceries
Netflix subscription payment - 14985,Entertainment
Utility bill payment - 69145,Utilities
Fast food purchase - 98459,Restaurants
Petrol station purchase - 18166,Gas
Payroll deposit - 84662,Salary
Bank interest payment - 94147,Interest Income
Health store transaction - 85375,Pharmacy
Concert tickets purchase - 27691,Entertainment
Petrol station purchase - 56775,Gas
Bank wire transfer - 97685,Transfer-Out
Interest income received - 50161,Interest Income
Fuel payment - 61072,Gas
Pharmacy store purchase - 34665,Pharmacy
Streaming service payment - 35766,Entertainment
Brunch payment - 39935,Restaurants
Starbucks coffee purchase - 28842,Restaurants
Payroll deposit - 56792,Salary
Fuel purchase at gas station - 11534,Gas
Health store transaction - 15237,Pharmacy
Fuel purchase at gas station - 13096,Gas
Organic store purchase - 75075,Groceries
Petrol station purchase - 05450,Gas
Concert tickets purchase - 63296,Entertainment
Gas utility payment - 89064,Utilities
Bank wire transfer - 20837,Transfer-Out
Mobile phone store purchase - 27057,Shopping
Medical supplies purchase - 40815,Pharmacy
Electronics store purchase - 97562,Shopping
Theme park ticket purchase - 82887,Entertainment
Interest income received - 71430,Interest Income
Lunch at sushi bar - 75522,Restaurants
Savings account interest - 64065,Interest Income
Transfer to savings account - 75709,Transfer-Out
Amazon online purchase - 73074,Shopping
Interest income received - 45137,Interest Income
Health store transaction - 91697,Pharmacy
Monthly salary deposit - 55105,Salary
Medical supplies purchase - 93793,Pharmacy
Interest deposit - 11621,Interest Income
Transfer to savings account - 89945,Transfer-Out
Supermarket groceries purchase - 21593,Groceries
Movie theater tickets - 20143,Entertainment
Vegetable market transaction - 15891,Groceries
Paycheck deposit - 77623,Salary
Income from employer - 43351,Salary
Transfer to savings account - 88152,Transfer-Out
Shoe store purchase - 88685,Shopping
Money sent to friend - 95594,Transfer-Out
Fuel payment - 38581,Gas
Medical supplies purchase - 03029,Pharmacy
Money sent to friend - 71155,Transfer-Out
Gas refill payment - 90722,Gas
Movie theater tickets - 65739,Entertainment
Payment to Italian restaurant - 93758,Restaurants
Vegetable market transaction - 51636,Groceries
Grocery store purchase - 29248,Shopping
Income from employer - 78084,Salary
Movie theater tickets - 52116,Entertainment
Electronics store purchase - 43164,Shopping
Money sent to friend - 64215,Transfer-Out
Petrol station purchase - 05021,Gas
Interest deposit - 96878,Interest Income
Electronics store purchase - 49818,Shopping
Money sent to friend - 78162,Transfer-Out
Income from employer - 50310,Salary
Medical supplies purchase - 68619,Pharmacy
Transfer to savings account - 85706,Transfer-Out
Bank wire transfer - 88765,Transfer-Out
Monthly salary deposit - 64947,Salary
Payroll deposit - 89854,Salary
Organic store purchase - 79055,Groceries
Grocery store payment - 07055,Groceries
Interest credited - 63316,Interest Income
Weekly grocery shopping - 84326,Groceries
Theme park ticket purchase - 55154,Entertainment
Vegetable market transaction - 37786,Groceries
Theme park ticket purchase - 79157,Entertainment
Medical supplies purchase - 67190,Pharmacy
Electronics store purchase - 46023,Shopping
Transfer to savings account - 79462,Transfer-Out
Transfer to savings account - 98642,Transfer-Out
Health store transaction - 17566,Pharmacy
Starbucks coffee purchase - 20197,Restaurants
Income from employer - 42079,Salary
Health store transaction - 75538,Pharmacy
Streaming service payment - 94401,Entertainment
Pharmacy store purchase - 55315,Pharmacy
Vegetable market transaction - 85695,Groceries
Netflix subscription payment - 94450,Entertainment
Amazon online purchase - 06962,Shopping
Income from employer - 95082,Salary
Mobile phone store purchase - 68094,Shopping
Paycheck deposit - 82969,Salary
Water bill payment - 22228,Utilities
Account transfer - 11966,Transfer-Out
Transfer to savings account - 75046,Transfer-Out
Gas utility payment - 84992,Utilities
Streaming service payment - 15490,Entertainment
Income from employer - 87415,Salary
Monthly salary deposit - 02536,Salary
Grocery store payment - 52463,Groceries
Utility bill payment - 27382,Utilities
Petrol station purchase - 15202,Gas
Streaming service payment - 43191,Entertainment
Lunch at sushi bar - 41865,Restaurants
Income from employer - 35536,Salary
Lunch at sushi bar - 84643,Restaurants
Salary payment - 59201,Salary
Money sent to friend - 56592,Transfer-Out
Payroll deposit - 47832,Salary
Gas station transaction - 69464,Gas
Shoe store purchase - 12322,Shopping
Bank interest payment - 87975,Interest Income
Utility bill payment - 18122,Utilities
Electronics store purchase - 11085,Shopping
Brunch payment - 59160,Restaurants
Bank interest payment - 27415,Interest Income
Fuel purchase at gas station - 03984,Gas
Health store transaction - 51955,Pharmacy
Gas utility payment - 46594,Utilities
Movie theater tickets - 43230,Entertainment
Fuel payment - 25647,Gas
Supermarket groceries purchase - 77575,Groceries
Theme park ticket purchase - 84276,Entertainment
Interest credited - 24279,Interest Income
Weekly grocery shopping - 65210,Groceries
Fuel payment - 14474,Gas
Monthly salary deposit - 19092,Salary
Gas refill payment - 72143,Gas
Organic store purchase - 94738,Groceries
Fuel purchase at gas station - 23518,Gas
Organic store purchase - 81727,Groceries
Water bill payment - 70475,Utilities
Theme park ticket purchase - 39917,Entertainment
Medical supplies purchase - 14230,Pharmacy
Movie theater tickets - 24075,Entertainment
Interest credited - 00745,Interest Income
Monthly salary deposit - 24639,Salary
Payment to Italian restaurant - 31514,Restaurants
Payroll deposit - 77841,Salary
Bank interest payment - 72075,Interest Income
Prescription payment - 11372,Pharmacy
Bank wire transfer - 15485,Transfer-Out
Electricity bill payment - 75786,Utilities
Payroll deposit - 27653,Salary
Prescription payment - 71243,Pharmacy
Grocery store purchase - 60910,Shopping
Mobile phone store purchase - 10634,Shopping
Bank wire transfer - 23609,Transfer-Out
Theme park ticket purchase - 98463,Entertainment
Bank interest payment - 70657,Interest Income
Supermarket groceries purchase - 99075,Groceries
Concert tickets purchase - 52617,Entertainment
Interest income received - 75674,Interest Income
Electronics store purchase - 75565,Shopping
Family money transfer - 99598,Transfer-Out
Savings account interest - 83253,Interest Income
Health store transaction - 34900,Pharmacy
Vegetable market transaction - 01809,Groceries
Netflix subscription payment - 08625,Entertainment
Medical supplies purchase - 91031,Pharmacy
Payroll deposit - 22355,Salary
Movie theater tickets - 77186,Entertainment
Transfer to savings account - 53750,Transfer-Out
Starbucks coffee purchase - 38488,Restaurants
Streaming service payment - 96605,Entertainment
Payroll deposit - 53616,Salary
Savings account interest - 75047,Interest Income
Gas station transaction - 34752,Gas
Interest deposit - 46741,Interest Income
Interest deposit - 16720,Interest Income
Bank interest payment - 65143,Interest Income
Netflix subscription payment - 36713,Entertainment
Gas utility payment - 10813,Utilities
Shoe store purchase - 72618,Shopping
Supermarket groceries purchase - 38343,Groceries
Medicine purchase - 25247,Pharmacy
Fuel purchase at gas station - 39520,Gas
Streaming service payment - 24906,Entertainment
Monthly salary deposit - 08623,Salary
Amazon online purchase - 45019,Shopping
Pharmacy store purchase - 09347,Pharmacy
Starbucks coffee purchase - 63399,Restaurants
Supermarket groceries purchase - 68880,Groceries
Health store transaction - 23317,Pharmacy
Medical supplies purchase - 86454,Pharmacy
Vegetable market transaction - 35215,Groceries
Concert tickets purchase - 37519,Entertainment
Petrol station purchase - 93591,Gas
Paycheck deposit - 77844,Salary
Internet service payment - 11109,Utilities
Account transfer - 66520,Transfer-Out
Mobile phone store purchase - 18461,Shopping
Savings account interest - 41249,Interest Income
Organic store purchase - 26221,Groceries
Gas utility payment - 43424,Utilities
Fast food purchase - 73367,Restaurants
Bank wire transfer - 58754,Transfer-Out
Lunch at sushi bar - 53755,Restaurants
Lunch at sushi bar - 23384,Restaurants
Bank interest payment - 60518,Interest Income
Electricity bill payment - 71796,Utilities
Gas refill payment - 44157,Gas
Theme park ticket purchase - 03671,Entertainment
Shoe store purchase - 14353,Shopping
Medical supplies purchase - 93379,Pharmacy
Money sent to friend - 11703,Transfer-Out
Internet service payment - 61126,Utilities
Supermarket groceries purchase - 48508,Groceries
Concert tickets purchase - 54406,Entertainment
Streaming service payment - 26821,Entertainment
Starbucks coffee purchase - 08682,Restaurants
Shoe store purchase - 19126,Shopping
Bank wire transfer - 71459,Transfer-Out
Amazon online purchase - 38878,Shopping
Amazon online purchase - 41834,Shopping
Concert tickets purchase - 61769,Entertainment
Gas utility payment - 99263,Utilities
Medical supplies purchase - 93155,Pharmacy
Utility bill payment - 88221,Utilities
Shoe store purchase - 47726,Shopping
Savings account interest - 03826,Interest Income
Weekly grocery shopping - 73530,Groceries
Salary payment - 35981,Salary
